Datetime,Water Level (m)
2023-07-27 12:00:00,0.47397378
2023-07-27 13:00:00,0.26229793
2023-07-27 14:00:00,0.049329676
2023-07-27 15:00:00,-0.08883251
2023-07-27 16:00:00,-0.13702299
2023-07-27 17:00:00,-0.068768
2023-07-27 18:00:00,0.09970343
2023-07-27 19:00:00,0.33654752
2023-07-27 20:00:00,0.5864376
2023-07-27 21:00:00,0.7798046
2023-07-27 22:00:00,0.8816288
2023-07-27 23:00:00,0.8953108
2023-07-28 00:00:00,0.83334565
2023-07-28 01:00:00,0.69197786
2023-07-28 02:00:00,0.5134806
2023-07-28 03:00:00,0.3450086
2023-07-28 04:00:00,0.23120879
2023-07-28 05:00:00,0.19031051
2023-07-28 06:00:00,0.23212706
2023-07-28 07:00:00,0.34779614
2023-07-28 08:00:00,0.50810343
2023-07-28 09:00:00,0.6507358
2023-07-28 10:00:00,0.7290665
2023-07-28 11:00:00,0.7352626
2023-07-28 12:00:00,0.64566857
2023-07-28 13:00:00,0.47789216
2023-07-28 14:00:00,0.26148653
2023-07-28 15:00:00,0.039789423
2023-07-28 16:00:00,-0.1188673
2023-07-28 17:00:00,-0.1828168
2023-07-28 18:00:00,-0.13461958
2023-07-28 19:00:00,0.0347857
2023-07-28 20:00:00,0.29972452
2023-07-28 21:00:00,0.6000516
2023-07-28 22:00:00,0.84738874
2023-07-28 23:00:00,1.009287
2023-07-29 00:00:00,1.0502664
2023-07-29 01:00:00,0.97978604
2023-07-29 02:00:00,0.80816174
2023-07-29 03:00:00,0.58583903
2023-07-29 04:00:00,0.3583745
2023-07-29 05:00:00,0.18546316
2023-07-29 06:00:00,0.098898016
2023-07-29 07:00:00,0.12167477
2023-07-29 08:00:00,0.23932198
2023-07-29 09:00:00,0.4176867
2023-07-29 10:00:00,0.6206171
2023-07-29 11:00:00,0.76144654
2023-07-29 12:00:00,0.7970752
2023-07-29 13:00:00,0.7270512
2023-07-29 14:00:00,0.54869926
2023-07-29 15:00:00,0.28996128
2023-07-29 16:00:00,0.022979613
2023-07-29 17:00:00,-0.17604105
2023-07-29 18:00:00,-0.27244237
2023-07-29 19:00:00,-0.21094164
2023-07-29 20:00:00,-0.021123929
2023-07-29 21:00:00,0.27826697
2023-07-29 22:00:00,0.6114084
2023-07-29 23:00:00,0.9212068
2023-07-30 00:00:00,1.1218615
2023-07-30 01:00:00,1.1841487
2023-07-30 02:00:00,1.1103065
2023-07-30 03:00:00,0.9092515
2023-07-30 04:00:00,0.6114323
2023-07-30 05:00:00,0.31178278
2023-07-30 06:00:00,0.08801034
2023-07-30 07:00:00,-0.02661376
2023-07-30 08:00:00,0.0032394982
2023-07-30 09:00:00,0.16103496
2023-07-30 10:00:00,0.40633568
2023-07-30 11:00:00,0.66168815
2023-07-30 12:00:00,0.8600755
2023-07-30 13:00:00,0.9378836
2023-07-30 14:00:00,0.8660804
2023-07-30 15:00:00,0.6588941
2023-07-30 16:00:00,0.3501314
2023-07-30 17:00:00,0.025401058
2023-07-30 18:00:00,-0.23454234
2023-07-30 19:00:00,-0.33751157
2023-07-30 20:00:00,-0.2552557
2023-07-30 21:00:00,-0.017017862
2023-07-30 22:00:00,0.33781844
2023-07-30 23:00:00,0.74331605
2023-07-31 00:00:00,1.0982944
2023-07-31 01:00:00,1.3355024
2023-07-31 02:00:00,1.3839498
2023-07-31 03:00:00,1.2816151
2023-07-31 04:00:00,1.0005909
2023-07-31 05:00:00,0.6217083
2023-07-31 06:00:00,0.24695003
2023-07-31 07:00:00,-0.029108232
2023-07-31 08:00:00,-0.1610886
2023-07-31 09:00:00,-0.09953055
2023-07-31 10:00:00,0.12621135
2023-07-31 11:00:00,0.45292562
2023-07-31 12:00:00,0.7804158
2023-07-31 13:00:00,1.016226
2023-07-31 14:00:00,1.0910937
2023-07-31 15:00:00,1.0004818
2023-07-31 16:00:00,0.73531306
2023-07-31 17:00:00,0.36562002
2023-07-31 18:00:00,-0.02510482
2023-07-31 19:00:00,-0.29332754
2023-07-31 20:00:00,-0.39298004
2023-07-31 21:00:00,-0.28849646
2023-07-31 22:00:00,0.011396446
2023-07-31 23:00:00,0.4420648
2023-08-01 00:00:00,0.9135726
2023-08-01 01:00:00,1.3134209
2023-08-01 02:00:00,1.5517572
2023-08-01 03:00:00,1.5680708
2023-08-01 04:00:00,1.393857
2023-08-01 05:00:00,1.0235947
2023-08-01 06:00:00,0.56674373
2023-08-01 07:00:00,0.13334922
2023-08-01 08:00:00,-0.17324644
2023-08-01 09:00:00,-0.2720057
2023-08-01 10:00:00,-0.14564292
2023-08-01 11:00:00,0.16078
2023-08-01 12:00:00,0.5657422
2023-08-01 13:00:00,0.95631623
2023-08-01 14:00:00,1.2104946
2023-08-01 15:00:00,1.2541001
2023-08-01 16:00:00,1.1057014
2023-08-01 17:00:00,0.7806738
2023-08-01 18:00:00,0.33645335
2023-08-01 19:00:00,-0.08910064
2023-08-01 20:00:00,-0.36751133
2023-08-01 21:00:00,-0.44623286
2023-08-01 22:00:00,-0.29627374
2023-08-01 23:00:00,0.07705357
2023-08-02 00:00:00,0.5706226
2023-08-02 01:00:00,1.0824983
2023-08-02 02:00:00,1.4936918
2023-08-02 03:00:00,1.6916643
2023-08-02 04:00:00,1.6388526
2023-08-02 05:00:00,1.3624469
2023-08-02 06:00:00,0.91503614
2023-08-02 07:00:00,0.38019925
2023-08-02 08:00:00,-0.0674805
2023-08-02 09:00:00,-0.35174495
2023-08-02 10:00:00,-0.39436662
2023-08-02 11:00:00,-0.20685168
2023-08-02 12:00:00,0.17823133
